Freq	Burst	Degree	Centrality	Sigma	PageRank	Keyword	Author	Year	Title	Source	Vol	Page	Half-life	DOI	ClusterID
3		3	0.00	1.00	0.00		SOLANGE MARIA GUERRA	2016	<html><b>...</b></html>	SO	0	0	0		
3		0	0.00	1.00	0.00		CHARLES W CALOMIRIS	2016	<html><b>...</b></html>	SO	0	0	0		
3		0	0.00	1.00	0.00		NICOLA BORRI	2018	<html><b>...</b></html>	SO	0	0	1		
3		1	0.00	1.00	0.00		VLADIMIR VOLKOV	2019	<html><b>...</b></html>	SO	0	0	0		
3		1	0.00	1.00	0.00		PATRICK MCCONNELL	2012	<html><b>...</b></html>	SO	0	0	0		
3		0	0.00	1.00	0.00		ALAN S BLINDER	2010	<html><b>...</b></html>	SO	0	0	0		
3		3	0.00	1.00	0.00		MOBEEN UR REHMAN	2018	<html><b>...</b></html>	SO	0	0	0		
2		0	0.00	1.00	0.00		WIM SCHOUTENS	2012	<html><b>...</b></html>	SO	0	0	1		
2		0	0.00	1.00	0.00		MOHAMED AZZIM GULAMHUSSEN	2012	<html><b>...</b></html>	SO	0	0	1		
2		0	0.00	1.00	0.00		ANTOINE GOUJARD	2014	<html><b>...</b></html>	SO	0	0	1		
2		0	0.00	1.00	0.00		J DAVID CUMMINS	2014	<html><b>...</b></html>	SO	0	0	0		
2		3	0.00	1.00	0.00		KARTIK ANAND	2012	<html><b>...</b></html>	SO	0	0	1		
2		0	0.00	1.00	0.00		ANNA ZALEWSKA	2016	<html><b>...</b></html>	SO	0	0	0		
2		0	0.00	1.00	0.00		CHAU H A LE	2016	<html><b>...</b></html>	SO	0	0	0		
2		1	0.00	1.00	0.00		CHIHWEI WANG	2015	<html><b>...</b></html>	SO	0	0	0		
2		1	0.00	1.00	0.00		BERND SCHWAAB	2016	<html><b>...</b></html>	SO	0	0	1		
2		4	0.00	1.00	0.00		JOSEPH E STIGLITZ	2012	<html><b>...</b></html>	SO	0	0	0		
2		2	0.00	1.00	0.00		J C HEAM	2012	<html><b>...</b></html>	SO	0	0	1		
2		2	0.00	1.00	0.00		ZHONGSHENG HUA	2010	<html><b>...</b></html>	SO	0	0	1		
2		1	0.00	1.00	0.00		KEITH BLACKER	2012	<html><b>...</b></html>	SO	0	0	1		
2		0	0.00	1.00	0.00		ADRIAN POP	2013	<html><b>...</b></html>	SO	0	0	0		
2		0	0.00	1.00	0.00		EERO TOLO	2018	<html><b>...</b></html>	SO	0	0	0		
2		2	0.00	1.00	0.00		HAIBIN ZHU	2012	<html><b>...</b></html>	SO	0	0	0		
2		3	0.00	1.00	0.00		ELIE BOURI	2018	<html><b>...</b></html>	SO	0	0	1		
2		1	0.00	1.00	0.00		DAVIDE PIRINO	2018	<html><b>...</b></html>	SO	0	0	0		
2		0	0.00	1.00	0.00		DIRK G BAUR	2016	<html><b>...</b></html>	SO	0	0	1		
2		0	0.00	1.00	0.00		CHRISTIAN ECKERT	2019	<html><b>...</b></html>	SO	0	0	0		
2		1	0.00	1.00	0.00		JANINA MUEHLNICKEL	2014	<html><b>...</b></html>	SO	0	0	1		
2		0	0.00	1.00	0.00		ANDREA ZAGHINI	2016	<html><b>...</b></html>	SO	0	0	1		
2		1	0.00	1.00	0.00		FRANCESCO VALLASCAS	2012	<html><b>...</b></html>	SO	0	0	1		
2		2	0.00	1.00	0.00		DILRUBA KARIM	2010	<html><b>...</b></html>	SO	0	0	1		
2		0	0.00	1.00	0.00		CHAIPORN VITHESSONTHI	2016	<html><b>...</b></html>	SO	0	0	1		
2		1	0.00	1.00	0.00		ALFONSO NOVALES	2019	<html><b>...</b></html>	SO	0	0	0		
2		0	0.00	1.00	0.00		CHRISTIAN BROWNLEES	2017	<html><b>...</b></html>	SO	0	0	0		
2		0	0.00	1.00	0.00		BERNARDINA ALGIERI	2017	<html><b>...</b></html>	SO	0	0	0		
2		0	0.00	1.00	0.00		TUOMAS A PELTONEN	2013	<html><b>...</b></html>	SO	0	0	0		
2		0	0.00	1.00	0.00		CLAS WIHLBORG	2018	<html><b>...</b></html>	SO	0	0	0		
2		2	0.00	1.00	0.00		DORRA HMAIED	2019	<html><b>...</b></html>	SO	0	0	0		
2		0	0.00	1.00	0.00		DAVID CRONIN	2019	<html><b>...</b></html>	SO	0	0	0		
2		2	0.00	1.00	0.00		HAO ZHOU	2012	<html><b>...</b></html>	SO	0	0	0		
2		0	0.00	1.00	0.00		CHIENCHIANG LEE	2018	<html><b>...</b></html>	SO	0	0	1		
2		0	0.00	1.00	0.00		DAVID MURPHY	2016	<html><b>...</b></html>	SO	0	0	0		
2		0	0.00	1.00	0.00		DEOKJONG JEONG	2018	<html><b>...</b></html>	SO	0	0	1		
2		0	0.00	1.00	0.00		BURAK SALTOGLU	2014	<html><b>...</b></html>	SO	0	0	1		
2		1	0.00	1.00	0.00		ANGELO BAGLIONI	2013	<html><b>...</b></html>	SO	0	0	0		
2		1	0.00	1.00	0.00		AYMEN BEN REJEB	2014	<html><b>...</b></html>	SO	0	0	1		
2		0	0.00	1.00	0.00		EDOARDO GAFFEO	2018	<html><b>...</b></html>	SO	0	0	1		
2		0	0.00	1.00	0.00		ELIZA WU	2016	<html><b>...</b></html>	SO	0	0	1		
2		0	0.00	1.00	0.00		ALISTAIR MILNE	2014	<html><b>...</b></html>	SO	0	0	0		
2		0	0.00	1.00	0.00		ANDREY SARANTSEV	2018	<html><b>...</b></html>	SO	0	0	1		
2		3	0.00	1.00	0.00		DAVID ROUBAUD	2018	<html><b>...</b></html>	SO	0	0	1		
2		1	0.00	1.00	0.00		JAMES PORTER	2015	<html><b>...</b></html>	SO	0	0	0		
2		1	0.00	1.00	0.00		AUSRINE LAKSTUTIENE	2018	<html><b>...</b></html>	SO	0	0	0		
