"filename", "language", "JSON with Comments", "Python", "JSON", "XML", "R", "comment", "blank", "total"
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/.idea/SystemicRisk.iml", "XML", 0, 0, 0, -26, 0, 0, 0, -26
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/.idea/codeStyles/codeStyleConfig.xml", "XML", 0, 0, 0, -5, 0, 0, 0, -5
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/.idea/dictionaries/ethan.xml", "XML", 0, 0, 0, -3, 0, 0, 0, -3
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/.idea/inspectionProfiles/profiles_settings.xml", "XML", 0, 0, 0, -6, 0, 0, 0, -6
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/.idea/misc.xml", "XML", 0, 0, 0, -4, 0, 0, 0, -4
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/.idea/modules.xml", "XML", 0, 0, 0, -8, 0, 0, 0, -8
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/.idea/other.xml", "XML", 0, 0, 0, -6, 0, 0, 0, -6
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/.idea/vcs.xml", "XML", 0, 0, 0, -6, 0, 0, 0, -6
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PyScripts/IO/import_exp_data.R", "R", 0, 0, 0, 0, -31, -8, -9, -48
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PyScripts/IO/transform_original_data.R", "R", 0, 0, 0, 0, -147, -16, -30, -193
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PyScripts/analyse/analyse_balance_sheet.R", "R", 0, 0, 0, 0, 0, 0, -1, -1
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PyScripts/exp_raw/main.py", "Python", 0, -60, 0, 0, 0, -16, -17, -93
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PyScripts/settings/set_agentsVariables.py", "Python", 0, -116, 0, 0, 0, -144, -12, -272
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PyScripts/settings/set_agents_variables.py", "Python", 0, 115, 0, 0, 0, 145, 14, 274
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PyScripts/settings/set_environmentVariables.py", "Python", 0, -44, 0, 0, 0, -30, -17, -91
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PyScripts/settings/set_environment_variables.py", "Python", 0, 18, 0, 0, 0, 6, 8, 32
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PyScripts/settings/set_parameterVariables.py", "Python", 0, -26, 0, 0, 0, -13, -14, -53
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PyScripts/settings/set_parameter_variables.py", "Python", 0, 25, 0, 0, 0, 8, 14, 47
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PyScripts/tools/useful_functions.R", "R", 0, 0, 0, 0, -53, -3, -11, -67
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PyScripts/visualization/visualize_data.R", "R", 0, 0, 0, 0, -15, -4, -11, -30
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/__init__.py", "Python", 0, 9, 0, 0, 0, -6, -3, 0
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/core/__init__.py", "Python", 0, 0, 0, 0, 0, -4, 1, -3
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/core/controller/__init__.py", "Python", 0, 0, 0, 0, 0, 0, -1, -1
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/core/controller/fun_agentModel.py", "Python", 0, -43, 0, 0, 0, -11, -18, -72
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/core/controller/fun_scheduler.py", "Python", 0, -191, 0, 0, 0, -154, -35, -380
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/core/controller/model_builder.py", "Python", 0, -50, 0, 0, 0, -42, -23, -115
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/core/controller/model_collector.py", "Python", 0, -138, 0, 0, 0, -68, -24, -230
"/Users/ethan/LocalFiles/ResearchFile/SystemicRisk/PySystemicRiskLab/core/controller/model_initVariable.py", "Python", 0, -179, 0, 0, 0, -245, -26, -450
