id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Citations>
5414	"schoenmaker, d"	-0.5517	-0.2743	1	121	269	7
5422	"schuermann, t"	-0.044	-0.0794	1	106	155	5
5424	"schularick, m"	-0.3309	0.7704	6	107	174	4
5432	"schumpeter, ja"	0.4492	1.0393	6	109	212	4
5443	"schweitzer, f"	0.6556	-0.0526	2	308	891	25
5445	"schwert, gw"	-0.6683	0.1712	1	65	117	4
5453	securities and exchange commission	-0.3289	-0.3483	1	21	189	7
5454	"sedunov, j"	-0.389	-0.4324	1	114	166	4
5459	"segoviano, m"	-0.3496	-0.2524	1	250	427	12
5467	"sensoy, a"	1.2271	-0.4615	2	83	169	5
5471	"serguieva, a"	1.5709	-0.6428	2	29	133	11
5473	"serrano, ma"	0.5278	-0.5044	2	83	167	6
5474	"serri, m"	1.4609	0.0363	2	89	164	3
5490	"shahzad, sjh"	-0.9448	-0.2935	1	67	92	5
5498	"shapley, ls"	0.2501	-0.5315	7	132	384	11
5503	"sharpe, wf"	-0.6322	-0.3077	1	64	93	4
5508	"sheldon, george"	0.7172	0.2897	3	319	945	23
5520	"shiller, rj"	-0.0689	0.1946	1	207	431	12
5526	"shin, h"	0.8552	0.2259	3	167	330	6
5527	"shin, hs"	0.2048	0.4003	6	441	1587	43
5534	"shleifer, a"	0.0556	0.2457	4	546	2054	44
5550	"siebenbrunner, c"	0.7136	-0.4496	7	109	159	3
5551	"sieczka, p"	0.6756	-0.2914	5	146	222	3
5556	"silva, tc"	0.7836	-0.5081	2	272	1567	52
5568	"simon, ha"	0.41	0.4231	5	103	185	5
5571	"sims, ca"	-0.544	-0.5424	1	155	323	9
5574	"singh, m"	0.2652	0.547	4	90	139	5
5577	"sinha, s"	0.6125	0.1155	3	59	166	4
5591	"sklar, m"	-0.8239	-0.3148	1	66	97	4
5594	"slijkerman, jf"	-0.5557	0.0215	1	70	119	4
5595	"slovin, mb"	-0.873	0.1109	1	189	494	11
5596	"smaga, p"	1.1486	-0.6239	2	97	188	6
5614	"snijders, tab"	1.4389	0.0261	3	81	144	4
5626	"solnik, bh"	-0.8718	0.1767	1	125	178	4
5629	"solorzano-margain, jp"	1.2084	-0.2566	2	151	259	4
5638	"soramaki, k"	1.0441	-0.1145	3	514	2923	75
5640	"sordi, s"	1.0719	-0.023	5	117	172	3
5645	"sornette, d"	0.5213	0.3734	5	174	403	16
5649	"souza, srs"	0.7197	-0.5215	2	93	183	6
5655	"spelta, a"	0.0664	-0.526	7	89	122	4
5657	"spiliopoulos, k"	0.5399	-0.6391	7	47	112	4
5663	"squartini, t"	1.2404	-0.2672	2	264	890	20
5673	"staikouras, sk"	-1.0845	0.1893	1	71	163	3
5686	"staum, j"	0.525	-0.2156	7	232	672	19
5692	"stein, jc"	-0.4131	0.3228	1	153	253	7
5694	"steinbacher, m"	0.5052	1.0795	6	83	287	6
5697	"stern, gh"	-0.3991	0.1247	1	105	148	5
5706	"stiglitz, j"	0.575	0.8205	6	128	272	6
5707	"stiglitz, je"	0.452	0.203	5	380	1099	25
5709	"stiroh, kj"	-0.8598	0.1736	1	161	539	11
5711	"stock, jh"	-0.1795	-0.0839	1	163	227	6
5729	"straetmans, s"	-0.8202	-0.0802	1	82	148	4
5744	"stulz, rm"	-0.652	-0.0521	1	260	524	17
5746	"stumpf, mph"	1.1951	0.1266	5	65	146	4
5764	"suh, s"	-0.6588	-0.1775	1	103	150	3
5772	"summer, m"	0.9479	0.3139	3	266	646	11
5785	"susmel, r"	-0.9456	-0.1433	1	84	119	4
5788	"suzuki, t"	0.5196	-0.5765	7	94	174	5
5806	"tabak, bm"	0.4401	-0.4274	2	283	648	17
5807	"tahbaz-salehi, a"	0.7993	0.2583	3	113	179	5
5808	"tai, cs"	-1.001	-0.1736	1	109	162	5
5813	"taleb, nn"	1.1606	0.0075	5	121	328	3
5832	"tarashev, n"	-0.2232	-0.399	1	231	429	13
5835	"tarashev, nikola"	0.058	-0.6269	7	78	166	5
5836	"tarski, alfred"	0.7058	0.3084	3	107	202	7
5839	"tasca, p"	0.9316	0.2367	2	202	528	14
5842	"taylor, j"	-0.2515	0.4807	6	117	156	4
5843	"taylor, jb"	0.0182	0.4627	6	150	241	8
5848	"tedeschi, g"	0.7388	0.2257	5	241	644	13
5851	"temizsoy, a"	1.0901	0.2526	5	171	343	8
5864	"teteryatnikova, m"	0.5003	0.0553	5	235	494	10
5886	"thurner, s"	0.9229	0.0628	5	397	1589	36
5889	"tibshirani, r"	-0.4912	-0.5865	1	93	144	5
5898	"tirole, j"	-0.3309	0.5579	4	180	475	12
5903	"tobin, j"	0.4096	1.0157	6	124	375	7
5905	"toivanen, m"	0.5915	0.0279	3	220	508	13
5914	"tonzer, l"	-0.042	0.1016	5	183	311	7
5932	"trapp, m"	-0.373	-0.1855	1	114	209	4
5949	"tse, ck"	0.2791	-0.7669	2	120	198	5
5961	"tumminello, m"	0.3063	-0.7217	2	186	510	13
5966	"turner, a"	0.9821	-0.0273	5	135	214	3
5979	"uhlig, h"	-0.1023	0.718	4	87	152	4
5988	"upper, c"	0.6155	-0.0688	3	734	7409	198
5989	"upper, christian"	-0.3461	-0.1384	1	120	166	4
5990	"ureche-rangau, l"	-0.9511	-0.2421	1	91	139	3
6000	"valimaki, t"	0.7349	0.763	3	51	132	2
6001	"vallascas, f"	-0.9311	0.2192	1	145	340	6
6015	"van lelyveld, i"	0.7744	-0.1232	3	103	195	7
6016	"van lelyveld, iman"	0.5857	0.0251	3	259	591	13
6022	"van rijckehem, c"	-0.9643	-0.0541	1	94	149	4
6034	"vanlelyveld, i"	0.233	0.2435	3	211	470	14
6038	"vasicek, o"	0.1381	-0.3138	7	124	370	11
6063	"veronesi, p"	-0.6189	0.0652	1	135	195	4
6074	"vitali, s"	0.4781	-0.3432	2	249	603	15
6076	"vives, x"	-0.2831	0.585	4	105	225	6
6078	"vivier-lirimont, s"	0.5764	-0.0291	3	200	496	11
6098	"von peter, g"	0.4558	0.0837	3	177	313	8
6105	"vuillemey, g"	0.2349	0.0945	3	172	288	6
6113	"wagner, w"	-0.1173	0.2714	1	512	1801	56
6121	"wall, ld"	-0.7042	0.0371	1	106	149	3
6122	"wallace, n"	-0.2899	0.6973	4	37	114	4
6132	"wang, gj"	-0.0497	-0.7527	2	161	713	21
6158	"watts, dj"	0.7799	-0.2367	2	435	1828	54
6166	"weber, s"	1.178	-0.5494	7	83	231	8
6179	"weiss, gnf"	-0.4685	-0.5199	9	212	523	11
6188	"wells, s"	0.7569	0.1168	3	402	1575	38
6196	"werner, ra"	0.5113	1.0689	6	73	210	4
6207	"wheelock, dc"	-0.8333	-0.006	1	93	141	5
6209	"white, h"	-0.481	-0.2935	1	257	492	12
6210	"white, lj"	-0.5942	0.6289	4	95	155	5
6215	"whittaker, j"	-0.1783	-0.7223	7	57	108	6
6268	"woodford, m"	-0.0646	0.5786	4	77	114	3
6274	"world, bank"	-1.0243	-0.0747	1	66	129	6
6301	"xu, t"	0.5469	-0.2076	2	132	201	6
6310	"yan, xg"	0.3407	-0.8885	2	58	152	2
6314	"yang, j"	-0.9733	-0.1069	1	147	243	5
6317	"yang, r"	0.0315	-0.446	2	99	134	3
6326	"yellen, j"	-0.0522	0.4141	1	140	203	4
6327	"yellen, jl"	0.9787	-0.0003	5	236	518	10
6343	"yu, f"	-0.0389	-0.0998	1	94	136	5
6350	"yuan, k"	-0.714	0.1125	1	102	159	4
6367	"zawadowski, a"	0.007	0.4183	4	261	581	14
6378	"zhang, by"	-0.9732	-0.2111	1	139	202	6
6388	"zhang, x"	0.2833	-0.5578	2	85	139	6
6397	"zhou, c"	0.0989	-0.2875	5	304	834	21
6412	zigrand jean-pierre	0.948	0.0682	5	125	175	2
6418	"zou, h"	-0.4667	-0.6101	1	63	120	4
